,dest,intermediate_location,payload,src,transhipment_path,veh_type,verb
842,PNQH,,,KNPH,"['KNPH', 'PNQH']",,MAK
843,VPIH,,,KNPH,"['KNPH', 'BOMH', 'VPIH']",,MAK
844,SNRH,,,KNPH,"['KNPH', 'SNRH']",,MAK
845,BLRH,,,KNPH,"['KNPH', 'BLRH']",,MAK
846,HYDH,,,KNPH,"['KNPH', 'HYDH']",,MAK
847,BOMH,,,KNPH,"['KNPH', 'BOMH']",,MAK
848,CCUH,,,KNPH,"['KNPH', 'CCUH']",,MAK
849,IDRH,,,KNPH,"['KNPH', 'IDRH']",,MAK
850,IXRB,,,KNPH,"['KNPH', 'PATH', 'IXRB']",,MAK
851,DELH,,,KNPH,"['KNPH', 'DELH']",,MAK
852,NDAH,,,KNPH,"['KNPH', 'DELH', 'NDAH']",,MAK
853,PNPF,,,KNPH,"['KNPH', 'DELH', 'AMCH', 'AMCH', 'PNPF']",,MAK
854,AGRB,,,KNPH,"['KNPH', 'AGRB']",,MAK
855,PATH,,,KNPH,"['KNPH', 'PATH']",,MAK
856,SILB,,,KNPH,"['KNPH', 'PATH', 'SILB']",,MAK
897,RDPF,,,MAAH,"['MAAH', 'KNPH', 'RDPF']",,MAK
899,IXCB,,,MAAH,"['MAAH', 'AMCH', 'AMCH', 'IXCB']",,MAK
901,AMCH,,,MAAH,"['MAAH', 'AMCH']",,MAK
902,AMCH,,,MAAH,"['MAAH', 'AMCH', 'AMCH']",,MAK
903,LUHB,,,MAAH,"['MAAH', 'AMCH', 'AMCH', 'LUHB']",,MAK
904,HDRB,,,MAAH,"['MAAH', 'AMCH', 'AMCH', 'HDRB']",,MAK
906,UDRF,,,MAAH,"['MAAH', 'AMDH', 'UDRF']",,MAK
908,CJBH,,,MAAH,"['MAAH', 'SXVF', 'CJBH']",,MAK
909,COKB,,,MAAH,"['MAAH', 'COKB']",,MAK
910,KNPH,,,MAAH,"['MAAH', 'KNPH']",,MAK
913,JAIH,,,MAAH,"['MAAH', 'JAIH']",,MAK
914,NAGH,,,MAAH,"['MAAH', 'HYDH', 'NAGH']",,MAK
915,BGMH,,,MAAH,"['MAAH', 'BLRH', 'BGMH']",,MAK
916,BBIH,,,MAAH,"['MAAH', 'VZAH', 'BBIH']",,MAK
917,VPIH,,,MAAH,"['MAAH', 'BLRH', 'VPIH']",,MAK
918,SNRH,,,MAAH,"['MAAH', 'PNQH', 'SNRH']",,MAK
919,AGRB,,,MAAH,"['MAAH', 'KNPH', 'AGRB']",,MAK
920,PATH,,,MAAH,"['MAAH', 'VZAH', 'IXRB', 'PATH']",,MAK
921,AMDH,,,MAAH,"['MAAH', 'AMDH']",,MAK
922,VZAH,,,MAAH,"['MAAH', 'VZAH']",,MAK
